name,home,ats,code,found_at,how,status,note
아이티센엔텍,https://itcenentec.com/index.do,,,,,ATS없음,채용링크 1개(화면)
디지틀조선,https://www.chosun.com/,,,,,ATS없음,채용링크 2개(화면)
마음AI,https://maum.ai/,,,,,채용링크없음,채용링크 0개(화면)
아이크래프트,https://icraft21.com/,,,,,ATS없음,채용링크 2개(화면)
한국전자인증,https://crosscert.com/,,,,,ATS없음,채용링크 1개(화면)
인지소프트,http://errdoc.gabia.io/403.html,,,,,채용링크없음,채용링크 0개(화면)
위메이드플레이,https://corp.wemadeplay.com/,,,,,ATS없음,채용링크 1개(화면)
비트컴퓨터,http://bit.co.kr/,,,,,ATS없음,채용링크 1개(화면)
레몬헬스케어,https://lemonhealthcare.com/,,,,,채용링크없음,채용링크 0개(화면)
샌즈랩,https://sandslab.io/,,,,,채용링크없음,채용링크 0개(화면)
유엔젤,https://www.uangel.com/kr/,,,,,ATS없음,채용링크 1개(화면)
유비벨록스,https://forsale.godaddy.com/forsale/veloxsoft.com?utm_source=TDFS_DASLNC&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-daslnc_base&traffic_type=TDFS_DASLNC&traffic_id=daslnc&,,,,,채용링크없음,채용링크 0개(화면)
이글루,https://www.igloo.co.kr/,,,,,ATS없음,채용링크 1개(화면)
FSN,https://fsn.co.kr/,,,,,채용링크없음,채용링크 0개(화면)
비트플래닛,https://bit-planet.kr/kr/,,,,,채용링크없음,채용링크 0개(화면)
오픈베이스,https://openbase.co.kr/,,,,,ATS없음,채용링크 3개(화면)
서울평가정보,https://www.sci.co.kr/,,,,,ATS없음,채용링크 1개(화면)
토탈소프트,https://www.tsb.co.kr/,,,,,채용링크없음,채용링크 0개(화면)
수산아이앤티,http://soosanint.co.kr,,,,,접속실패,Page.content: Unable to retrieve content because the page is
인성정보,http://www.insunginfo.co.kr/,,,,,채용링크없음,채용링크 0개(화면)
시선AI,https://secern.ai/,,,,,채용링크없음,채용링크 0개(화면)
퀀텀레일,https://www.xcure.co.kr/,,,,,채용링크없음,채용링크 0개(화면)
